Division;Class;Order;Genus;Species;SFLAG;STAGE;Author;AphiaID;AphiaID_link;Trophy;Geometric_shape;FORMULA;SizeClassNo;Nonvalid_SIZCL;Not_accepted_name;Unit;SizeRange;Length(l1)µm;Length(l2)µm;Width(w)µm;Height(h)µm;Diameter(d1)µm;Diameter(d2)µm;No_of_cells/counting_unit;Calculated_volume_µm3;Comment;Filament_length_of_cell(µm);Calculated_Carbon_pg/counting_unit;Comment_on_Carbon_calculation;Corrections/Additions;Synonyms - NOT IMPORTED, NOT handled by ICES;WORMS Rank
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;20;11;;;2;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;50;26;;;6;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;100;53;;;12;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;200;106;;;24;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;6;;;cell;0.5-1x0.8-2;1,3;;;;0,9;;1;0,5;;;0,1;based on individual cell;"New size class of size class 1 with corrected formula; Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2";Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;1;;;cell; 0.4-2x0.8-3.5;2,5;;;;1,2;;1;1,9;;;0,4;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;20;38;;;8;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;50;94;;;20;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;100;188;;;39;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;200;377;;;78;based on individual cell;Size range changed from 0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2011;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;1;;;cell;0.8-1x1-2;1,5;;;;0,9;;1;0,6;;;0,1;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2012;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony;0.8-1x1-2;1,5;;;;0,9;;20;13;;;3;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2013;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony;0.8-1x1-2;1,5;;;;0,9;;50;32;;;7;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2014;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony;0.8-1x1-2;1,5;;;;0,9;;100;64;;;14;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2015;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony;0.8-1x1-2;1,5;;;;0,9;;200;127;;;28;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;1;;;cell; 1-1.5x2-3.5;2,8;;;;1,3;;1;2;;;0,5;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;20;45;;;9;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;50;112;;;23;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;100;225;;;46;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;200;450;;;92;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;1;;;cell; 0.5-1.2;;;;;0,9;;1;0,3;;;0,1;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;2;;;colony; 0.5-1.2;;;;;0,9;;20;6;;;1,5;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;3;;;colony; 0.5-1.2;;;;;0,9;;50;16;;;4;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;4;;;colony; 0.5-1.2;;;;;0,9;;100;32;;;7;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;5;;;colony; 0.5-1.2;;;;;0,9;;200;64;;;15;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;6;;;colony; 0.5-1.2;;;;;0,9;;400;129;;;30;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa delicatissima;;;W. & G.S. West 1912;146563;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146563;AU;sphere;π/6*d^3;7;;;colony; 0.5-1.2;;;;;0,9;;600;193;;;45;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa elachista;;;W. & G.S. West 1894;146564;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146564;AU;sphere;π/6*d^3;1;;;cell; 1.3-2;;;;;1,7;;1;2;;;0,5;based on individual cell;;Aphanocapsa conferta;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa elachista;;;W. & G.S. West 1894;146564;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146564;AU;sphere;π/6*d^3;2;;;colony; 1.3-2;;;;;1,7;;20;47;;;10;based on individual cell;;Aphanocapsa conferta;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa elachista;;;W. & G.S. West 1894;146564;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146564;AU;sphere;π/6*d^3;3;;;colony; 1.3-2;;;;;1,7;;50;118;;;24;based on individual cell;;Aphanocapsa conferta;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa elachista;;;W. & G.S. West 1894;146564;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146564;AU;sphere;π/6*d^3;4;;;colony; 1.3-2;;;;;1,7;;100;235;;;48;based on individual cell;;Aphanocapsa conferta;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa elachista;;;W. & G.S. West 1894;146564;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146564;AU;sphere;π/6*d^3;5;;;colony; 1.3-2;;;;;1,7;;200;470;;;96;based on individual cell;;Aphanocapsa conferta;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa holsatica;;;(Lemmermann) Cronberg & Komárek 1994;146647;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146647;AU;sphere;π/6*d^3;1;;;cell;1;;;;;1;;1;0,5;;;0,1;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa holsatica;;;(Lemmermann) Cronberg & Komárek 1994;146647;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146647;AU;sphere;π/6*d^3;2;;;colony;1;;;;;1;;20;10;;;2;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa holsatica;;;(Lemmermann) Cronberg & Komárek 1994;146647;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146647;AU;sphere;π/6*d^3;3;;;colony;1;;;;;1;;50;26;;;6;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa holsatica;;;(Lemmermann) Cronberg & Komárek 1994;146647;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146647;AU;sphere;π/6*d^3;4;;;colony;1;;;;;1;;100;52;;;12;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa holsatica;;;(Lemmermann) Cronberg & Komárek 1994;146647;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146647;AU;sphere;π/6*d^3;5;;;colony;1;;;;;1;;200;105;;;24;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa incerta;;;(Lemmermann) Cronberg & Komárek 1994;162668;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162668;AU;sphere;π/6*d^3;1;;;cell;1;;;;;1;;1;0,5;;;0,1;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa incerta;;;(Lemmermann) Cronberg & Komárek 1994;162668;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162668;AU;sphere;π/6*d^3;2;;;colony;1;;;;;1;;20;10;;;2;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa incerta;;;(Lemmermann) Cronberg & Komárek 1994;162668;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162668;AU;sphere;π/6*d^3;3;;;colony;1;;;;;1;;50;26;;;6;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa incerta;;;(Lemmermann) Cronberg & Komárek 1994;162668;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162668;AU;sphere;π/6*d^3;4;;;colony;1;;;;;1;;100;52;;;12;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa incerta;;;(Lemmermann) Cronberg & Komárek 1994;162668;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162668;AU;sphere;π/6*d^3;5;;;colony;1;;;;;1;;200;105;;;24;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa planctonica;;;(G.M. Smith) Komárek & Anagnostidis 1995;162672;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162672;AU;sphere;π/6*d^3;1;;;cell; 2-3;;;;;2,5;;1;8;;;1,6;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa planctonica;;;(G.M. Smith) Komárek & Anagnostidis 1995;162672;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162672;AU;sphere;π/6*d^3;2;;;colony; 2-3;;;;;2,5;;20;164;;;31;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa planctonica;;;(G.M. Smith) Komárek & Anagnostidis 1995;162672;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162672;AU;sphere;π/6*d^3;3;;;colony; 2-3;;;;;2,5;;50;409;;;78;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa planctonica;;;(G.M. Smith) Komárek & Anagnostidis 1995;162672;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162672;AU;sphere;π/6*d^3;4;;;colony; 2-3;;;;;2,5;;100;818;;;155;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa planctonica;;;(G.M. Smith) Komárek & Anagnostidis 1995;162672;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162672;AU;sphere;π/6*d^3;5;;;colony; 2-3;;;;;2,5;;200;1635;;;311;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa reinboldii;;;(P. Richter) Komárek & Anagnostidis 1995;162673;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162673;AU;sphere;π/6*d^3;1;;;cell; 3-4;;;;;3,5;;1;22;;;4;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa reinboldii;;;(P. Richter) Komárek & Anagnostidis 1995;162673;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162673;AU;sphere;π/6*d^3;2;;;colony; 3-4;;;;;3,5;;20;449;;;80;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa reinboldii;;;(P. Richter) Komárek & Anagnostidis 1995;162673;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162673;AU;sphere;π/6*d^3;3;;;colony; 3-4;;;;;3,5;;50;1122;;;200;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa reinboldii;;;(P. Richter) Komárek & Anagnostidis 1995;162673;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162673;AU;sphere;π/6*d^3;4;;;colony; 3-4;;;;;3,5;;100;2244;;;401;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa reinboldii;;;(P. Richter) Komárek & Anagnostidis 1995;162673;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162673;AU;sphere;π/6*d^3;5;;;colony; 3-4;;;;;3,5;;200;4488;;;802;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa rivularis;;;(Carmichael) Rabenhorst 1865;162675;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162675;AU;sphere;π/6*d^3;1;;;cell; 0.8-4;;;;;2,4;;1;7;;;1,4;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa rivularis;;;(Carmichael) Rabenhorst 1865;162675;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162675;AU;sphere;π/6*d^3;2;;;colony; 0.8-4;;;;;2,4;;20;145;;;28;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa rivularis;;;(Carmichael) Rabenhorst 1865;162675;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162675;AU;sphere;π/6*d^3;3;;;colony; 0.8-4;;;;;2,4;;50;362;;;69;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa rivularis;;;(Carmichael) Rabenhorst 1865;162675;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162675;AU;sphere;π/6*d^3;4;;;colony; 0.8-4;;;;;2,4;;100;723;;;138;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa rivularis;;;(Carmichael) Rabenhorst 1865;162675;http://www.marinespecies.org/aphia.php?p=taxdetails&id=162675;AU;sphere;π/6*d^3;5;;;colony; 0.8-4;;;;;2,4;;200;1447;;;277;based on individual cell;;;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;1;;;cell; 1-2;;;;;1,5;;1;1,8;;;0,4;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;2;;;colony; 1-2;;;;;1,5;;20;35;;;7;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;3;;;colony; 1-2;;;;;1,5;;50;88;;;18;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;4;;;colony; 1-2;;;;;1,5;;100;177;;;37;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;5;;;colony; 1-2;;;;;1,5;;200;353;;;74;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;6;;;cell; 2-4;;;;;3;;1;14;;;3;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;7;;;colony; 2-4;;;;;3;;20;283;;;52;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;8;;;colony; 2-4;;;;;3;;50;707;;;130;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;9;;;colony; 2-4;;;;;3;;100;1413;;;260;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;10;;;colony; 2-4;;;;;3;;200;2826;;;519;based on individual cell;;;Genus
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Aphanocapsa;Aphanocapsa;;;;146562;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562;AU;sphere;π/6*d^3;11;;;cell;0.8-1.5;;;;;1,2;;1;0,9;;;0,2;based on individual cell;;;Genus
