"Abundance";"Amplitude";"Phenology";"diff_sum";"persistence_coast";"persistence_ocean";"compare_ranks"
"1";0.61342299180938;1.52871062257609;0.674199862463242;2.81633347684871;11;11;608.5
"2";0.600154336165131;1.56454474373553;0.738548945875996;2.90324802577666;11;11;839
"3";0.490429636697546;1.48349916566126;0.738548945875996;2.71247774823481;11;11;418.5
"4";0.388337719504632;1.46042310365421;0.738548945875996;2.58730976903484;11;11;68
"5";0.387991576863087;1.50234030940469;0.738548945875996;2.62888083214377;11;11;227.5
"6";0.467286638674126;1.557975865757;0.852802865422442;2.87806536985357;11;11;863
"7";0.413096092191038;1.47905191542164;0.674199862463242;2.56634787007592;11;11;24
"8";0.611626994808107;1.57349714584725;0.674199862463242;2.8593240031186;11;11;693
"9";0.556878098507663;1.61139031842972;0.674199862463242;2.84246827940062;11;11;686
"10";0.457520797978073;1.47517091272616;0.674199862463242;2.60689157316748;11;11;75.5
"11";0.573267644087656;1.5444474341448;0.738548945875996;2.85626402410845;11;11;791
"12";0.648718256685088;1.57149545652568;0.674199862463242;2.89441357567401;11;11;726.5
"13";0.415888035419663;1.43019133818981;0.738548945875996;2.58462831948547;11;11;50
"14";0.647353370756091;1.57111646036198;0.674199862463242;2.89266969358131;11;11;723
"15";0.634551840545663;1.49321181900683;0.674199862463242;2.80196352201574;11;11;470
"16";0.3136261547023;1.46335132964462;0.738548945875996;2.51552643022292;11;11;40.5
"17";0.532986131366714;1.46207319722642;0.797724035217466;2.7927833638106;11;11;623
"18";0.4207797488625;1.51370264393198;0.738548945875996;2.67303133867048;11;11;371
"19";0.597060249023902;1.52312159787345;0.674199862463242;2.79438170936059;11;11;579
"20";0.416105506727408;1.48028044535855;0.738548945875996;2.63493489796196;11;11;187
"21";0.411833353372437;1.49153884409886;0.738548945875996;2.64192114334729;11;11;227.5
"22";0.488240838294676;1.54713958439324;0.738548945875996;2.77392936856391;11;11;644
"23";0.580238578341588;1.56995430594715;0.738548945875996;2.88874183016474;11;11;836
"24";2.45802105546616;1.45376841197666;0.797724035217466;4.70951350266029;10;10;1002
"25";0.39628078138223;1.5096758116653;0.738548945875996;2.64450553892352;11;11;288.5
