"Abundance";"Amplitude";"Phenology"
"CHA";0.258678938160587;-2.29805474343747;1
"DIT";-0.565157079785116;2.52171654190151;0
"GUI";-0.257623303535373;0.705582043980775;1
"LEP";-0.512064246091462;0.301568762420632;1
"SKE";-1.05227906587386;1.19065313708835;0
"THP";0.165560865926396;-0.726921815826955;0
"NIT";0.158876197738726;-0.7446004879635;0
"PLE";0.165548281903518;0.0195646466647148;0
"PSE";-0.200158950210248;2.5239214013738;1
"PRO";-0.340821365808576;1.12519043957895;1
"PRP";-0.31254201359264;1.40092175047821;0
