"Abundance";"Amplitude";"Phenology"
"CHA";0.28663675786348;-2.47527056159657;1
"DIT";-0.437383006087159;2.50249669736943;0
"GUI";-0.231956550716223;0.727352654164022;1
"LEP";-0.347646070110089;0.136692669691241;1
"SKE";-0.53918196619654;0.805690757508618;0
"THP";0.181520402317223;-0.890161666829099;0
"NIT";0.157545058788188;-1.0223203806224;0
"PLE";0.175676271412957;-0.208898686786436;1
"PSE";-0.20960104800788;2.59970030907091;1
"PRO";-0.263794935170764;1.06247490584061;1
"PRP";-0.298261574515701;1.42616207153818;1
