"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"1";1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
"2";1388.22068470168;1007.98620723022;1075.43666849426;1078.89517355207;1123.48595858711;1300.89959265815;991.246000345961;1106.48122377059;989.326415874155;1029.08983852021;1023.72585425323
"3";2481.04974994965;1002.73430099631;1140.03483937975;1353.07591025879;1207.64769814425;1841.00994857092;983.623045677391;1228.57863585087;978.711217766683;1113.73286221197;1029.9120501792
"4";5425.51110423938;995.328336271719;1207.74183874123;2196.63377994026;1263.64273181268;2707.13176146283;977.09485739844;1358.95798771191;968.195119891056;1276.19489979334;1033.01276231172
"5";11640.6817095516;987.368492112612;1384.67076330273;2799.44625131507;1299.50526064041;4127.25509426042;972.129183976858;1480.9601811229;958.258809676728;1417.74888606645;1054.81400831858
"6";22745.4152512309;979.162112078731;1729.45640066774;3240.19465471566;1320.97560165593;5972.70688740838;967.856237263112;1601.72042900592;949.734488019172;1556.87438028442;1099.33427870354
"7";37328.7219941588;973.9233071921;2147.82603442365;3539.66516100633;1343.78938457024;7896.14180451248;963.353351129878;1714.2807895366;943.561593129209;1626.54937410817;1150.61198044688
"8";56964.7586604418;967.552615376354;2682.01844452975;3946.40432457504;1354.7548720145;9863.3720609611;958.750879407516;1858.65658643292;937.949556257221;1779.60478964082;1202.65197875946
"9";78656.0864533106;960.327638374781;3277.6389551047;4444.95816823193;1356.4472970138;11798.1325145709;954.14665618199;2011.36733446079;932.8746593947;1981.43871687839;1258.49087045816
"10";96245.8592886931;958.364756107085;3674.4307815006;4781.07906151337;1371.59134043255;13533.7032712459;949.031483925114;2130.97280997257;928.885737597395;2021.90746092085;1304.23823491286
"11";115150.451450817;954.163094898816;4210.3738694194;5019.82850470793;1377.0430721598;15432.531214109;944.21456078594;2273.00780014354;926.425663111171;2107.48615278077;1361.22186847362
"12";134670.623339816;948.653788084723;4289.59015134508;5568.44249918404;1375.08778370499;16477.9682883783;937.011422121443;2393.94298481037;917.885732844217;2146.8544242144;1361.16809793396
"13";153534.64288417;941.132053470443;4551.12577515111;6035.63378606403;1369.49928980963;17984.6226418834;931.548000549446;2516.23556528029;911.108521879192;2236.00146243162;1379.35054804407
"14";169857.084882954;937.41895161475;4910.17973247879;6344.81329778684;1366.49941186169;19636.3213664735;926.655943091769;2624.78912480693;906.453268612228;2280.35427732419;1412.61890007471
