"Abundance";"Amplitude";"Phenology"
"CHA";0.598292877149751;-2.46898390233214;1
"DIT";-0.0768721214828285;2.421183717306;0
"GUI";0.12459453263636;0.567301839822627;0
"LEP";0.128495347795253;-0.466644100688731;1
"SKE";-0.23564908091395;0.738155142295695;0
"THP";0.491668930010386;-0.92298227044052;0
"NIT";0.462811835211917;-1.01445718574533;0
"PLE";0.491653136843258;-0.197233867173736;1
"PSE";0.142812148114456;2.45706763796007;1
"PRO";0.0624049555194013;1.06023815147921;1
"PRP";0.0196192541880165;1.42265353520099;1
