"Abundances";"Amplitude";"Phenology"
"CHA";0.469641385474571;0.469641385474571;0
"DIT";0.749842376289245;0.749842376289245;0
"GUI";0.0872700171110909;0.0872700171110909;1
"LEP";0.0205564964147671;0.0205564964147671;0
"SKE";0.576774125390644;0.576774125390644;0
"THP";1.52291892549263;1.52291892549263;0
"NIT";0.559860746626847;0.559860746626847;0
"PLE";1.68465774213218;1.68465774213218;1
"PSE";0.487827893403263;0.487827893403263;1
"PRO";0.411326353981364;0.411326353981364;1
"PRP";0.325113853000789;0.325113853000789;1
